,Values
RMSE - Baseline,0.12867183664952767
R2 - Baseline,0.8543704560942963
Linear RMSE - Baseline,0.1552734280695966
Linear R2 - Baseline,-2.1631289179945896
SGD RMSE - Baseline,1262559522654.456
SGD R2 - Baseline,-2.0913481362540944e+26
Linear RMSE - Only Headlines,0.011203737764042545
Linear R2 - Only Headlines,-0.18904621458507553
SGD RMSE - Only Headlines,1117752692402.8052
SGD R2 - Only Headlines,-1.1834892397847388e+28
XGB RMSE - Only Headlines,0.12592713342901402
XGB R2 - Only Headlines,-149.21437633794505
Linear RMSE - Only Twitter,0.15455854850498904
Linear R2 - Only Twitter,-2.1340698467187833
SGD RMSE - Only Twitter,1273221186452.038
SGD R2 - Only Twitter,-2.1268179809625223e+26
XGB RMSE - Only Twitter,0.16615633519249748
XGB R2 - Only Twitter,-2.6220664979692403
Linear RMSE - All,0.012433133054586093
Linear R2 - All,-0.46431336764007214
SGD RMSE - All,2720585472504.2188
SGD R2 - All,-7.011284882543144e+28
XGB RMSE - All,0.12749183126193023
XGB R2 - All,-152.97052227750888
RF RMSE - All,0.099296956344161
RF R2 - All,-92.39954009771611
